Ticker,Name,Sector,Beta,Market Cap,Current Price,Price Target
AAPL,APPLE INC,Information Technology,1.09,1081130615,223.84,232.27
AMZN,AMAZON.COM INC,Consumer Discretionary,1.23,960942834,1970.19,2133.39
MSFT,MICROSOFT CORP,Information Technology,1.46,869345788,113.37,122.3
GOOGL,ALPHABET INC-A,Information Technology,1.44,817459888,1177.98,1384.89
BRK/A,BERKSHIRE HATH-A,Financials,1.13,534247506,324999,357125
FB,FACEBOOK INC-A,Information Technology,1.33,468653343,162.32,205.93
JPM,JPMORGAN CHASE,Financials,1.14,381460349,113.5,122.15
JNJ,JOHNSON&JOHNSON,Health Care,0.86,374217638,139.49,144.2
XOM,EXXON MOBIL CORP,Energy,0.87,351067570,82.92,88.63
SAC,BANK OF AMERICA,Financials,1.2,303343141,30.37,34.33
V,VISA INC-CLASS A,Information Technology,1.15,300743721,147.84,159.43
WMT,WALMART INC,Consumer Staples,0.75,277028995,94.59,103.34
SPY,SPDR S&P 500 ETF,N/A,1,270949532,290.88,N/A
WFC,WELLS FARGO & CO,Financials,1.06,263587185,54.73,62.12
UNH,UNITEDHEALTH GRP,Health Care,0.97,255353815,265.31,284.14
PFE,PFIZER INC,Health Care,0.81,251836219,42.96,43.06
T,AT&T INC,Telecommunication Services,0.62,244003193,33.6,35.83
HD,HOME DEPOT INC,Consumer Discretionary,1.01,239204975,209.07,213.81
MA,MASTERCARD INC-A,Information Technology,1.18,226341093,217.96,228.18
VZ,VERIZON COMMUNIC,Telecommunication Services,0.71,225397080,54.55,56.21
CVX,CHEVRON CORP,Energy,0.93,224917340,117.38,143.86
CSCO,CISCO SYSTEMS,Information Technology,1.3,216681234,47.4,50.15
INTC,INTEL CORP,Information Technology,1.58,209984946,45.54,56.18
PG,PROCTER & GAMBLE,Consumer Staples,0.52,208118612,83.61,83.5
BA,BOEING CO/THE,Industrials,1.34,206708097,359.8,412.63
ORCL,ORACLE CORP,Information Technology,1.02,196071883,49.25,54.48
KO,COCA-COLA CO/THE,Consumer Staples,0.53,195591897,45.99,50.69
MRK,MERCK & CO,Health Care,0.65,186113589,69.98,74.53
C,CITIGROUP INC,Financials,1.08,177521345,70.54,83.04
CMCSA,COMCAST CORP-A,Consumer Discretionary,0.94,169348252,36.96,43.48
NVDA,NVIDIA CORP,Information Technology .,1.84,168069448,276.43,286.09
IW,ISHARES-C S&P500,N/A,1.01,164820451,292.91,N/A
