Origin_Country,2015_TB,2016_TB,2017_TB,2018_TB,2019_TB,2020_TB,2021_TB,2022_TB,2015_Pop,2016_Pop,2017_Pop,2018_Pop,2019_Pop,2020_Pop,2021_Pop,2022_Pop
Bhutan,8.1484655,10.30824361,8.519682324,8.768635771,10.81249488,10.05499079,11.29631276,11.21757652,0,0,105,65,160,0,335,545
Comoros,1.760470941,1.898886981,2.089527442,2.100743832,2.308252496,2.180907938,2.38732043,2.356881552,0,0,30,30,35,30,40,55
Djibouti,16.7999227,16.71020543,14.7593479,14.21210265,14.06682303,12.44015228,13.93069756,16.17228298,0,0,225,255,315,415,345,395
Kyrgyzstan,6.840687087,7.519118279,7.501377617,7.083564607,7.341574161,6.668248625,7.910080931,8.766670478,0,295,205,235,215,145,220,225
Mozambique,18.15800028,19.58566286,21.26324024,21.39127466,23.53765555,22.16243004,24.34948844,23.99642062,0,0,20,0,35,25,45,50
Oman,0.452692528,0.488285224,0.534830705,0.517778166,0.752514547,0.63613455,0.550230437,0.72939686,0,0,135,175,185,130,205,185
Surinam,1.609573432,1.38205528,1.672619584,2.265111889,1.917527286,1.807204795,1.953358215,1.949472156,0,25,25,15,35,25,20,40
Swaziland,32.593862,29.1652006,29.59040892,26.15852087,23.63887519,20.56834614,22.16051216,21.57617749,0,30,50,30,0,25,0,0
United Arab Emirates,0.039736344,0.126752006,0.124252662,0.144114469,0.152187186,0.134773804,0.140289334,0.150334683,0,80,75,95,105,75,115,165
Malta,0.407423275,0.651046965,0.588456721,0.77032291,1.449243163,1.918151381,0.83065051,0.878180375,15,0,15,0,20,15,30,25
Turkmenistan,2.49283418,2.495680032,2.575257278,2.752555525,2.971899224,2.861165678,3.214243549,3.225981962,25,0,45,30,50,35,65,65
Montenegro,0.799567326,0.86806262,0.823839409,0.888834127,1.009981145,0.881703378,0.995184007,0.974835166,40,30,20,35,40,20,70,75
Dominica,0.604005619,0.501154549,0.168975372,0.486426034,1.12900021,1.074376734,1.178354464,1.143931505,45,60,75,120,105,80,135,135
Lao,9.205163647,9.535566803,9.930966289,9.599408573,10.12275669,9.135326994,9.632076714,9.185790143,45,40,45,0,35,0,0,40
Malawi,9.970921138,9.610386666,9.58288041,9.119703166,9.544960905,8.519283145,8.947058617,8.353009596,55,60,50,60,45,50,75,90
Tajikistan,4.387713296,4.657856054,5.001882127,5.053397461,5.458930264,4.901938899,5.388310263,5.256975632,55,45,0,85,65,50,90,130
Cyprus,0.374444605,0.344669911,0.333237171,0.329089479,0.441063519,0.225383074,0.344827688,0.572208965,60,45,45,50,45,25,65,35
Other,0.067619669,0.061697848,0.069834144,0.031263791,0.020730076,0.023350506,0,0,60,60,70,35,25,20,0,0
Paraguay,2.079586459,2.322098722,2.635115116,2.655181305,3.115794379,2.829042891,3.165523329,3.111365416,60,95,105,120,145,60,90,95
Luxembourg,0.380079577,0.360662181,0.419712851,0.503849354,0.637619939,0.40814197,0.489154031,0.611555483,65,50,55,40,70,45,105,100
Bahrain,0.839012133,0.782423188,0.800922975,0.800392419,0.998758473,0.995552935,1.081178147,1.053330025,75,75,95,100,105,65,95,95
Uruguay,1.593499679,1.720164184,1.909014438,2.117414572,2.424340919,2.090377203,2.297070654,2.607499406,75,90,85,115,175,110,190,140
Saint Kitts and Nevis,0.331595574,0.087405284,0.236004523,0.075926349,0.391354455,0.376019183,0.085730018,0.178860906,80,85,95,85,95,70,115,120
Angola,18.52219558,19.7530295,21.22037119,21.03574101,23.02741139,20.50993819,21.85674455,22.31006929,100,110,95,0,205,80,225,335
Gambia,8.814455816,9.356844006,9.893085395,9.728929992,10.41347764,9.503160827,10.20395244,9.750387434,100,130,125,145,150,105,225,205
Belize,1.387083609,2.187346864,2.303005861,1.938453464,1.899227957,1.751699818,1.964012147,1.889335404,115,175,185,180,170,135,195,160
